hotel_id,type,name,address,rooms,grade,district,aga_division,local_authority,longitude,latitude
HOTEL_0870,Guest Houses,BENTHOTA HIGHRICH RIVER VIEW RESORT,"NO 97, RIVERSIDE ROAD, ALUTHGAMA",6,FOUR,Kalutara,Aluthgama,Beruwala Divisional Secretariat,79.996745,6.432034
HOTEL_0871,Guest Houses,MASTODON VALLEY SAFARI RESORT,"NO 16, KUMUDU, THANAMALVILA ROAD, UDAWALAWA",8,FOUR,Ratnapura,Udawalawa,Embilipitiya Divisional Secretariat,80.808748,6.419872
HOTEL_0872,Guest Houses,PAPERMOON KUDILS,"KANAGAR VILLAGE, URANI, POTTUVIL 25",20,FOUR,Ampara,Pottuvil,Pottuvil Divisional Secretariat,81.843322,6.908028
HOTEL_0873,Guest Houses,OSHADEE RIVER SIDE HOTEL,"BALAWINNA, PALLEBADDA",9,FOUR,Ratnapura,Ratnapura,Godakawela Divisional Secretariat,80.6910768,6.4831592
HOTEL_0874,Guest Houses,SEA SIDE TERRACE,"22/2, HOLY CROSS AVENUE, MORATUWA",10,FOUR,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.878547,6.77857
HOTEL_0875,Guest Houses,C NEGOMBO,"NO: 47, PORUTHOTA ROAD, KOCHCHIKADE",9,FOUR,Gampaha,Negombo,Negombo Divisional Secretariat,79.857377,7.265322
HOTEL_0876,Guest Houses,CULTURE RESORT,"24, BEACH ROAD, POLHENA, MATARA",8,FIVE,Matara,Matara,Matara Divisional Secretariat,80.52699,5.936771
HOTEL_0877,Guest Houses,DUWS WHITE HOUSE,"37/4, BEACH ROAD, MOUNT LAVINIA",10,FIVE,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.864697,6.842611
HOTEL_0878,Guest Houses,HOTEL EURO LANKA,"29, MILAGIRIYA AVENUE, (MARINE DRIVE), COLOMBO 04",35,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.854286,6.888464
HOTEL_0879,Guest Houses,THE VILLA DREAM HOLIDAYS,"NO 121,GIRIULLA ROAD,KANDAWALA,KATANA",11,FIVE,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.894835,7.243119
HOTEL_0880,Guest Houses,CEYBANK REST NUWARA-ELIYA,"BADULLA ROAD,NUWARA-ELIYA",19,FIVE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.766646,6.965541
HOTEL_0881,Guest Houses,BOUGAINVILLEA RETREAT,"VICTORIA GOLF & COUNTRY RETREAT,RAJAWELLA,KANDY",19,FIVE,Kandy,Kandy,Kandy Divisional Secretariat,80.775652,7.266985
HOTEL_0882,Guest Houses,SORABORA VILLAGE INN,"SORABORA WEWA ROAD,MAHIYANGANAYA",18,FOUR,Badulla,Mahiyanganaya Pradeshiya Sabha,Badulla Divisional Secretariat,80.996546,7.346332
HOTEL_0883,Guest Houses,KIRINDA BEACH RESORT,"BEACH ROAD, NIDANGALAWELLA, KIRINDA, YALA",23,FIVE,Hambantota,Hambantota,Thissamaharama Divisional Secretariat,81.325393,6.206688
HOTEL_0884,Guest Houses,KK BEACH,"MATARA ROAD, HABARADUWA, GALLE.",6,FIVE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.30158,5.994056
HOTEL_0885,Guest Houses,TRIPLE O SIX,"P.O.BOX 0006,BANDARAMULLA,MIRISSA.",21,FIVE,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.469336,5.941095
HOTEL_0886,Guest Houses,SEVEN ELEVEN HOTEL AND RESTAURANT,"154/1,,MININDU MAWATHA,,KESBEWA",14,FIVE,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.940843,6.797702
HOTEL_0887,Guest Houses,CEYLON SEA HOTEL,"NO-26 , VIJAYA ROAD,MEDAKETIYA,TANGALLE",18,FIVE,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.799174,6.032124
HOTEL_0888,Guest Houses,BALAJI OCEAN VIEW,"MAIN STREET,ARUGAMBAY,POTTUVIL.",20,FIVE,Ampara,Pottuvil,Pottuvil Divisional Secretariat,81.832381,6.839237
HOTEL_0889,Guest Houses,BLUE WHALE BEACH RESORT,"KANDAKULIYA,KALPITIYA.",15,FIVE,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.7124594,8.2150047
HOTEL_0890,Guest Houses,SAPPHIRE SEAS HOTEL,"SAPPHIRE SEAS HOTEL,GALLE ROAD, PATUWATHA, DODANDUWA,HIKKADUWA",11,FIVE,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.121175,6.116151
HOTEL_0891,Guest Houses,SERENDIPITALY HOTEL,"37,GALLE ROAD,AKURALA, AMBALANGODA",5,FIVE,Galle,Ambalangoda,Ambalangoda Divisional Secretariat,80.0606851,6.196545
HOTEL_0892,Guest Houses,RANDILI HOTEL,"8 TH CROSS STREET,BORUPANA,RATMALANA",26,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.894521,6.818073
HOTEL_0893,Guest Houses,THOTUPOLA WILD HOLIDAYS,"NO 70, DELTHARA, PILIYANDALA",11,FIVE,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.939545,6.803543
HOTEL_0894,Guest Houses,SANTANI,"ARATENNA ESTATE,WERAPITIYA,THELDENIYA,KANDY.",20,FIVE,Kandy,Kandy,Medadumbara Divisional Secretariat,80.7381408,7.3577013
HOTEL_0895,Guest Houses,AIRPORT CITY HUB HOTEL,"NO 3/C, GANGARAMA ROAD, KOVINNA, ADIAMBALAMA. KATUNAYAKE",22,FIVE,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.899317,7.179248
HOTEL_0896,Guest Houses,OASEY HOTEL AND REATAURANT,"OASEY HOTEL RESTAURANT , GALBADA, INDURUWA.",18,FIVE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.0057502,6.3870994
HOTEL_0897,Guest Houses,TERRACE GREEN HOTEL,"11/A ST. JUDE MAWATHA,ETTUKALA,NEGOMBO",10,FIVE,Gampaha,Negombo,Negombo Divisional Secretariat,79.842909,7.23766
HOTEL_0898,Guest Houses,SANDRIANA LAKE VIEW,"NO: 09,,KEERTHI SRI RAJASINGHA MAWATHA,KANDY",15,FIVE,Kandy,Kandy,Kandy Divisional Secretariat,80.6368268,7.2881025
HOTEL_0899,Guest Houses,FROZEN VILLA,"FROZEN VILLA,RATHNAPURA ROAD,UDAGAMA, EMBILIPITIYA",12,FIVE,Ratnapura,Embilipitiya,Embilipitiya Divisional Secretariat,80.841212,6.34133
HOTEL_0900,Guest Houses,HOTEL CLARION,"NO 103, KANDY ROAD, KIRIBATHGODA",31,FIVE,Gampaha,Kelaniya Pradeshiya Sabha,Gampaha Divisional Secretariat,79.9305473,6.983531
HOTEL_0901,Guest Houses,LUSH LIFE VILLA,"TEMPLE ROAD,MEEPAWALA,PODDALA,GALLE.",11,FIVE,Galle,Bope,Bope-Poddala Divisional Secretariat,80.215636,6.113541
HOTEL_0902,Guest Houses,MOUNT BREEZE HOTEL,"22/5A,OFF DE SERAM ROAD,MT.LAVINIYA",24,FIVE,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.8610934,6.8405724
HOTEL_0903,Guest Houses,ARUGAMBAY ROCCOS,"MAIN SRTEET,ARUGAMBAY,POTTUVIL.",22,FOUR,Ampara,Pottuvil,Pottuvil Divisional Secretariat,81.8289763,6.844204
HOTEL_0904,Guest Houses,MAOYA RETREAT HOTEL,"PINNAWALA RIVER RANGE(BANGALA WATHTHA),ANDIRIMADA,HIRIWADUNNA,KEGALLE",17,FIVE,Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,80.3796686,7.3013359
HOTEL_0905,Guest Houses,CEYLON CITY HOTEL,"NO. 11,UPATISSA ROAD,COLOMBO 04",37,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.853899,6.8897357
HOTEL_0906,Guest Houses,WEWA ADDARA,"NO.54, KAYANWALA, SIGIRIYA,,",28,FOUR,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.755848,7.939453
HOTEL_0907,Guest Houses,KUMU BEACH,"670/5, DALLE ROAD, WELAGEDARA,BALAPITIYA, GALLE",10,FIVE,Galle,balapitiya,Ambalangoda Divisional Secretariat,80.04036,6.278716
HOTEL_0908,Guest Houses,CAMELLIA HILLS,"WILLIAM BUNGALOW,DICKOYA,HATTON, NUWARA ELIYA",5,FIVE,Nuwara Eliya,Ginigathhena,Nuwara Eliya Divisional Secretariat,80.5693959,6.8610278
HOTEL_0909,Heritage Bungalows,ELPITIYA WALAUWA,"ELPITIYA ESTATE,WELIGALLA.",5,FIVE,Kandy,Gampola,Gampaha Divisional Secretariat,80.602462,7.190628
HOTEL_0910,Heritage Bungalows,BROCKENHURST,"98, WATER FIELD DRIVE, NUWARA ELIYA",4,FIVE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.764033,6.981032
HOTEL_0911,Heritage Bungalows,BETHANY 101,"101, COLOMBO ROAD, PUTTALAM.",6,FIVE,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,79.830405,8.027126
HOTEL_0912,Heritage Homes,ATAPATTU WALAWWA,"35/5, ATAPATTU WALAWWA, LOWER DICKSON ROAD, GALLE",7,FIVE,Galle,Galle,Galle Divisional Secretariat,80.217628,6.038721
HOTEL_0913,Heritage Homes,WILWATTE WALAWWA,"WILWATTE WALAWWA, WILWATTE, MIRIGAMA",1,FOUR,Gampaha,mirigama,Mirigama Divisional Secretariat,80.126954,7.242735
HOTEL_0914,Home Stay Units,HOLIDAY NEST,"20/1A, 3RD LANE,DALADAWATTA ROAD, THALPITIYA,WADDUWA",4,FOUR,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.926281,6.675791
HOTEL_0915,Home Stay Units,AURORA,"9/8, 1/1, DE SARAM ROAD, MOUNT LAVINIA.",7,FOUR,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,79.8625913,6.8418553
HOTEL_0916,Home Stay Units,VILLA SHADE,"ARUNA MAWATHA, KATANA ROAD, THIMBIRIGASKATUWA, NEGAMBO.",4,FIVE,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.870338,7.232815
